project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
house,0,90.0,3,rural,0,standard,1,3.4,70389,86,14,12.1,spring,1,0.1,0.035,LOW,0
commercial,2,75.0,7,rural,0,premium,2,4.8,74707,55,22,6.5,winter,0,0.8,0.311,LOW,0
landscaping,3,61.5,7,suburban,1,premium,2,2.2,55113,111,5,3.0,summer,2,0.1,0.289,LOW,0
house,0,444.5,3,rural,0,premium,2,2.2,20441,10,60,13.5,autumn,3,0.3,0.72,HIGH,1
landscaping,3,159.0,1,rural,0,basic,0,2.6,60939,8,20,4.6,summer,2,0.1,0.71,HIGH,1
renovation,1,156.0,5,rural,0,premium,2,1.7,72179,90,12,3.6,spring,1,0.1,0.092,LOW,0
renovation,1,79.8,7,urban,2,basic,0,2.9,96713,29,5,11.8,summer,2,0.1,0.12,LOW,0
renovation,1,175.6,4,urban,2,basic,0,1.0,83564,37,5,10.0,spring,1,0.1,0.0,LOW,1
house,0,61.2,1,suburban,1,standard,1,3.1,132800,32,15,7.7,summer,2,0.1,0.211,LOW,1
landscaping,3,443.3,1,suburban,1,premium,2,2.6,139056,111,63,7.6,spring,1,0.1,0.091,LOW,0
house,0,184.8,5,urban,2,premium,2,5.0,25688,68,38,6.2,winter,0,0.8,0.476,MEDIUM,1
house,0,270.4,6,urban,2,standard,1,1.6,199222,113,12,8.9,summer,2,0.1,0.107,LOW,0
commercial,2,422.0,5,suburban,1,basic,0,2.4,55624,78,32,10.5,spring,1,0.1,0.045,LOW,0
landscaping,3,46.4,5,suburban,1,premium,2,2.2,162751,73,5,14.2,winter,0,0.8,0.131,LOW,1
commercial,2,198.3,5,rural,0,standard,1,2.7,111592,79,25,8.3,winter,0,0.8,0.07,LOW,0
house,0,72.8,4,urban,2,standard,1,2.6,131980,50,6,6.5,summer,2,0.1,0.0,LOW,0
house,0,204.6,5,urban,2,standard,1,2.9,179914,96,25,2.8,summer,2,0.1,0.186,LOW,0
landscaping,3,223.7,3,suburban,1,premium,2,4.6,186568,84,26,8.6,autumn,3,0.3,0.271,LOW,0
renovation,1,148.5,6,suburban,1,standard,1,1.3,48110,53,5,7.7,autumn,3,0.3,0.0,LOW,0
house,0,183.0,2,suburban,1,basic,0,3.4,33938,25,35,2.6,summer,2,0.1,0.262,LOW,1
house,0,112.8,7,suburban,1,premium,2,2.6,138882,89,13,5.1,spring,1,0.1,0.027,LOW,0
renovation,1,118.4,4,suburban,1,standard,1,1.1,159187,8,5,0.7,summer,2,0.1,0.214,LOW,0
house,0,482.5,4,urban,2,standard,1,4.7,86057,87,71,14.0,spring,1,0.1,0.226,LOW,0
commercial,2,141.5,6,rural,0,standard,1,4.0,181665,70,25,7.8,summer,2,0.1,0.0,LOW,0
house,0,408.8,4,urban,2,basic,0,3.9,167422,105,40,13.4,autumn,3,0.3,0.149,LOW,0
commercial,2,355.0,5,suburban,1,basic,0,4.6,165614,94,52,11.4,summer,2,0.1,0.104,LOW,0
renovation,1,436.9,4,urban,2,premium,2,3.5,134815,30,49,5.7,spring,1,0.1,0.467,MEDIUM,0
landscaping,3,379.4,4,urban,2,basic,0,2.5,196505,34,12,7.0,spring,1,0.1,0.0,LOW,0
renovation,1,165.2,3,suburban,1,basic,0,2.7,89210,8,9,11.1,spring,1,0.1,0.116,LOW,0
renovation,1,387.5,5,rural,0,premium,2,1.5,24701,8,19,11.3,summer,2,0.1,0.649,HIGH,1
renovation,1,395.3,4,rural,0,basic,0,4.8,171650,42,48,6.1,winter,0,0.8,0.478,MEDIUM,1
landscaping,3,376.2,6,urban,2,basic,0,3.7,107016,32,15,9.1,winter,0,0.8,0.044,LOW,0
landscaping,3,152.7,1,suburban,1,premium,2,1.7,54670,109,14,7.6,summer,2,0.1,0.067,LOW,0
landscaping,3,361.3,2,urban,2,standard,1,1.4,59321,20,13,5.4,autumn,3,0.3,0.0,LOW,1
renovation,1,175.2,5,urban,2,standard,1,2.7,93194,29,9,7.7,autumn,3,0.3,0.076,LOW,0
renovation,1,344.0,5,urban,2,basic,0,4.9,104298,102,30,5.7,winter,0,0.8,0.195,LOW,0
landscaping,3,265.2,2,suburban,1,premium,2,1.5,97941,89,12,7.6,winter,0,0.8,0.098,LOW,0
commercial,2,289.5,4,suburban,1,premium,2,2.7,154733,46,63,2.8,spring,1,0.1,0.393,MEDIUM,1
landscaping,3,70.9,6,rural,0,premium,2,2.4,132651,50,6,1.8,autumn,3,0.3,0.332,LOW,0
commercial,2,246.0,7,urban,2,basic,0,1.3,198597,118,8,14.5,winter,0,0.8,0.171,LOW,0
renovation,1,225.8,5,suburban,1,premium,2,3.1,169176,59,23,5.5,winter,0,0.8,0.162,LOW,0
commercial,2,270.4,7,suburban,1,premium,2,3.7,65213,83,45,9.0,summer,2,0.1,0.244,LOW,0
renovation,1,299.5,2,urban,2,standard,1,3.2,6631,72,47,0.8,spring,1,0.1,0.556,MEDIUM,1
commercial,2,338.9,1,suburban,1,premium,2,3.6,16953,55,169,7.3,summer,2,0.1,0.766,HIGH,1
commercial,2,354.2,4,rural,0,standard,1,2.8,198939,43,81,1.4,autumn,3,0.3,0.645,HIGH,1
renovation,1,322.4,7,suburban,1,premium,2,2.0,167935,52,15,9.4,summer,2,0.1,0.013,LOW,0
commercial,2,226.5,3,suburban,1,standard,1,2.8,139910,24,31,13.8,autumn,3,0.3,0.157,LOW,0
renovation,1,32.0,3,urban,2,basic,0,3.2,34996,117,5,5.3,spring,1,0.1,0.035,LOW,0
house,0,305.0,2,urban,2,standard,1,4.8,183261,85,64,12.3,spring,1,0.1,0.198,LOW,0
landscaping,3,358.1,7,suburban,1,basic,0,2.6,41019,100,10,12.6,spring,1,0.1,0.156,LOW,0
renovation,1,34.6,1,suburban,1,basic,0,3.0,15117,39,7,1.6,spring,1,0.1,0.449,MEDIUM,1
landscaping,3,458.9,3,suburban,1,basic,0,1.1,75894,54,7,9.6,summer,2,0.1,0.038,LOW,0
landscaping,3,290.3,2,suburban,1,standard,1,2.7,43163,62,19,13.2,winter,0,0.8,0.023,LOW,0
landscaping,3,257.0,1,rural,0,premium,2,4.9,122755,19,82,8.8,spring,1,0.1,0.715,HIGH,1
house,0,48.0,5,rural,0,standard,1,3.6,102944,49,6,9.1,autumn,3,0.3,0.099,LOW,0
house,0,88.0,4,suburban,1,premium,2,1.4,87071,109,8,3.0,summer,2,0.1,0.194,LOW,0
commercial,2,332.5,5,suburban,1,standard,1,3.7,76459,114,51,7.2,summer,2,0.1,0.038,LOW,1
commercial,2,466.8,5,rural,0,standard,1,4.5,157397,101,100,14.8,winter,0,0.8,0.241,LOW,0
commercial,2,217.3,7,urban,2,premium,2,1.0,115140,43,9,13.2,spring,1,0.1,0.015,LOW,0
renovation,1,130.7,2,suburban,1,standard,1,4.4,56596,101,19,9.8,summer,2,0.1,0.191,LOW,1
landscaping,3,394.3,1,urban,2,standard,1,3.4,148575,44,54,6.7,winter,0,0.8,0.44,MEDIUM,1
landscaping,3,315.6,6,urban,2,standard,1,1.3,88773,111,5,10.6,autumn,3,0.3,0.059,LOW,0
renovation,1,205.1,5,rural,0,premium,2,4.0,131496,86,28,7.1,summer,2,0.1,0.232,LOW,0
landscaping,3,359.9,3,urban,2,premium,2,4.8,164507,23,41,7.2,autumn,3,0.3,0.658,HIGH,1
house,0,349.5,4,rural,0,basic,0,2.9,62733,82,34,14.3,summer,2,0.1,0.068,LOW,0
renovation,1,294.5,5,suburban,1,standard,1,1.2,53906,119,7,6.8,summer,2,0.1,0.036,LOW,0
commercial,2,171.5,4,urban,2,premium,2,1.6,28079,39,18,4.7,autumn,3,0.3,0.153,LOW,0
commercial,2,54.6,5,suburban,1,standard,1,1.4,155244,12,5,12.3,autumn,3,0.3,0.0,LOW,0
landscaping,3,158.1,3,rural,0,basic,0,1.5,109037,89,5,8.0,winter,0,0.8,0.056,LOW,0
renovation,1,83.8,7,urban,2,basic,0,1.5,13092,58,5,10.8,summer,2,0.1,0.033,LOW,1
house,0,243.5,5,rural,0,basic,0,2.6,117539,28,19,11.2,autumn,3,0.3,0.0,LOW,0
house,0,178.7,6,rural,0,basic,0,2.7,86325,15,22,0.9,autumn,3,0.3,0.609,HIGH,1
house,0,298.5,4,rural,0,standard,1,5.0,185874,54,62,8.4,winter,0,0.8,0.338,LOW,0
house,0,300.5,1,suburban,1,premium,2,2.4,188618,29,108,3.7,spring,1,0.1,0.6,HIGH,1
house,0,463.6,5,urban,2,standard,1,4.2,149657,86,57,7.8,summer,2,0.1,0.153,LOW,0
renovation,1,267.4,7,rural,0,premium,2,2.5,172244,87,19,11.4,summer,2,0.1,0.095,LOW,0
landscaping,3,203.9,7,urban,2,basic,0,3.9,107035,85,8,11.0,spring,1,0.1,0.051,LOW,0
renovation,1,250.8,2,rural,0,basic,0,4.0,91018,115,46,2.5,summer,2,0.1,0.14,LOW,1
commercial,2,136.2,5,suburban,1,standard,1,2.5,11770,27,13,7.6,summer,2,0.1,0.15,LOW,0
landscaping,3,439.9,4,rural,0,premium,2,4.6,163789,28,64,6.0,spring,1,0.1,0.625,HIGH,1
landscaping,3,402.2,3,urban,2,premium,2,1.5,41732,86,17,4.7,autumn,3,0.3,0.109,LOW,1
commercial,2,134.6,5,suburban,1,standard,1,2.1,142349,18,11,8.3,spring,1,0.1,0.002,LOW,0
house,0,253.6,6,suburban,1,standard,1,2.6,130559,61,19,13.0,summer,2,0.1,0.088,LOW,0
landscaping,3,339.0,5,suburban,1,basic,0,4.8,179135,17,23,6.5,summer,2,0.1,0.38,MEDIUM,1
house,0,476.8,1,rural,0,premium,2,3.1,139474,52,254,4.4,spring,1,0.1,0.765,HIGH,1
commercial,2,289.5,2,suburban,1,standard,1,2.9,159693,33,52,9.5,winter,0,0.8,0.461,MEDIUM,0
landscaping,3,482.0,2,suburban,1,standard,1,1.7,128422,110,23,5.6,winter,0,0.8,0.061,LOW,0
landscaping,3,285.8,1,suburban,1,premium,2,1.7,128694,26,27,7.7,spring,1,0.1,0.094,LOW,0
house,0,468.3,5,urban,2,standard,1,2.3,51814,40,30,13.7,spring,1,0.1,0.038,LOW,0
landscaping,3,203.2,4,urban,2,standard,1,3.0,59015,113,11,5.6,autumn,3,0.3,0.0,LOW,0
renovation,1,236.1,4,rural,0,premium,2,4.1,126256,26,49,3.4,autumn,3,0.3,0.676,HIGH,1
landscaping,3,405.0,5,rural,0,standard,1,1.0,88718,37,11,2.9,winter,0,0.8,0.116,LOW,0
landscaping,3,246.0,3,urban,2,basic,0,1.9,65612,7,6,12.3,summer,2,0.1,0.091,LOW,0
commercial,2,468.9,4,urban,2,premium,2,2.9,45175,18,70,8.3,summer,2,0.1,0.491,MEDIUM,1
landscaping,3,224.2,7,rural,0,basic,0,2.8,121862,118,8,7.9,spring,1,0.1,0.041,LOW,0
renovation,1,359.4,6,suburban,1,basic,0,4.2,118689,75,24,8.5,autumn,3,0.3,0.239,LOW,0
landscaping,3,326.7,3,suburban,1,premium,2,2.3,109689,89,26,4.1,autumn,3,0.3,0.238,LOW,0
renovation,1,280.4,4,suburban,1,basic,0,3.1,56944,60,17,7.0,spring,1,0.1,0.06,LOW,0
house,0,240.7,3,urban,2,basic,0,3.9,97809,9,27,11.5,spring,1,0.1,0.405,MEDIUM,0
house,0,404.8,6,suburban,1,standard,1,3.5,71035,33,42,10.5,spring,1,0.1,0.227,LOW,0
landscaping,3,358.4,6,urban,2,basic,0,1.6,51211,37,6,7.6,spring,1,0.1,0.0,LOW,0
house,0,174.6,4,rural,0,basic,0,3.5,53464,35,20,11.7,autumn,3,0.3,0.045,LOW,0
renovation,1,109.5,1,suburban,1,standard,1,2.1,54687,99,12,7.9,summer,2,0.1,0.147,LOW,0
landscaping,3,411.0,3,suburban,1,standard,1,2.2,59626,70,22,5.1,winter,0,0.8,0.024,LOW,0
commercial,2,386.5,7,rural,0,basic,0,1.3,163051,10,21,4.7,winter,0,0.8,0.638,HIGH,1
commercial,2,41.1,6,suburban,1,basic,0,4.6,105109,107,5,11.0,autumn,3,0.3,0.098,LOW,1
renovation,1,374.2,6,rural,0,standard,1,3.4,96135,106,30,12.0,autumn,3,0.3,0.174,LOW,0
house,0,299.6,7,rural,0,premium,2,3.7,127834,76,48,12.1,spring,1,0.1,0.249,LOW,0
landscaping,3,154.6,7,suburban,1,basic,0,2.0,71428,107,5,3.1,winter,0,0.8,0.283,LOW,0
renovation,1,443.9,7,suburban,1,premium,2,2.4,56649,44,26,10.8,winter,0,0.8,0.191,LOW,1
renovation,1,313.0,3,suburban,1,standard,1,4.2,77128,65,41,5.7,summer,2,0.1,0.11,LOW,0
commercial,2,264.5,5,rural,0,premium,2,2.7,40555,87,45,14.7,winter,0,0.8,0.199,LOW,0
house,0,455.2,7,suburban,1,standard,1,3.8,154328,49,49,8.2,summer,2,0.1,0.038,LOW,0
renovation,1,369.4,4,suburban,1,basic,0,4.9,65567,116,40,5.5,spring,1,0.1,0.199,LOW,1
house,0,251.9,3,rural,0,premium,2,1.2,199692,106,19,13.3,autumn,3,0.3,0.045,LOW,0
commercial,2,221.1,3,rural,0,basic,0,2.4,175902,7,31,4.8,summer,2,0.1,0.551,MEDIUM,1
house,0,305.4,6,suburban,1,basic,0,4.4,138920,33,49,2.1,winter,0,0.8,0.739,HIGH,1
house,0,363.4,4,urban,2,premium,2,1.3,161522,72,19,12.2,autumn,3,0.3,0.138,LOW,0
renovation,1,397.0,2,suburban,1,basic,0,1.2,175359,14,12,7.6,spring,1,0.1,0.023,LOW,0
renovation,1,463.6,5,suburban,1,basic,0,2.2,7315,33,17,14.8,summer,2,0.1,0.303,LOW,0
house,0,52.1,7,rural,0,standard,1,4.6,56865,16,9,5.4,spring,1,0.1,0.124,LOW,0
house,0,368.3,1,rural,0,standard,1,3.9,78716,33,145,8.3,spring,1,0.1,0.486,MEDIUM,1
commercial,2,216.0,3,urban,2,premium,2,2.2,114179,87,33,5.0,summer,2,0.1,0.0,LOW,0
landscaping,3,169.6,4,urban,2,basic,0,1.8,104139,95,5,10.7,winter,0,0.8,0.0,LOW,0
landscaping,3,173.5,5,suburban,1,premium,2,3.6,155176,100,12,8.2,spring,1,0.1,0.113,LOW,1
commercial,2,288.1,7,rural,0,standard,1,2.5,196918,31,30,11.8,autumn,3,0.3,0.037,LOW,1
commercial,2,233.2,2,urban,2,premium,2,2.1,185309,49,35,10.7,autumn,3,0.3,0.038,LOW,0
renovation,1,169.3,5,urban,2,basic,0,3.8,37102,60,9,10.9,summer,2,0.1,0.0,LOW,0
commercial,2,141.6,7,urban,2,standard,1,4.9,7784,50,22,14.6,summer,2,0.1,0.503,MEDIUM,1
renovation,1,179.8,4,rural,0,premium,2,4.6,60188,22,42,3.2,spring,1,0.1,0.782,HIGH,1
landscaping,3,150.4,1,suburban,1,standard,1,4.3,64451,39,32,5.5,summer,2,0.1,0.297,LOW,0
landscaping,3,375.8,4,rural,0,premium,2,2.8,55443,36,29,13.9,autumn,3,0.3,0.162,LOW,0
renovation,1,199.3,6,rural,0,premium,2,3.9,28595,103,33,3.5,summer,2,0.1,0.294,LOW,1
renovation,1,490.1,3,suburban,1,premium,2,1.3,77859,53,22,10.2,winter,0,0.8,0.062,LOW,0
landscaping,3,383.9,6,rural,0,premium,2,3.5,6098,77,33,6.8,autumn,3,0.3,0.381,MEDIUM,1
renovation,1,169.2,7,urban,2,standard,1,2.4,39940,75,6,9.0,summer,2,0.1,0.002,LOW,0
landscaping,3,248.4,5,urban,2,standard,1,1.4,190354,116,5,14.0,winter,0,0.8,0.056,LOW,0
house,0,71.6,2,urban,2,premium,2,1.2,119565,50,5,8.4,winter,0,0.8,0.136,LOW,0
house,0,358.2,1,rural,0,basic,0,1.9,52379,35,54,10.9,winter,0,0.8,0.586,MEDIUM,1
renovation,1,181.5,4,rural,0,standard,1,4.9,167286,59,28,5.8,spring,1,0.1,0.153,LOW,1
house,0,111.0,1,rural,0,premium,2,4.8,20264,58,81,5.8,autumn,3,0.3,0.599,MEDIUM,1
landscaping,3,237.2,1,urban,2,premium,2,3.7,122493,54,42,9.1,summer,2,0.1,0.147,LOW,0
house,0,193.5,4,suburban,1,basic,0,1.6,13598,11,13,2.6,winter,0,0.8,0.387,MEDIUM,1
house,0,478.6,7,rural,0,premium,2,3.8,70899,56,81,9.7,autumn,3,0.3,0.609,HIGH,1
house,0,418.6,2,suburban,1,premium,2,2.1,103893,56,56,9.0,winter,0,0.8,0.197,LOW,0
commercial,2,354.6,5,urban,2,premium,2,3.6,143431,96,60,9.5,autumn,3,0.3,0.208,LOW,0
commercial,2,417.6,2,urban,2,basic,0,4.5,35397,71,133,1.2,summer,2,0.1,0.986,HIGH,1
house,0,188.5,2,urban,2,basic,0,1.6,54192,105,14,3.7,summer,2,0.1,0.065,LOW,0
house,0,97.9,5,rural,0,premium,2,1.6,87121,66,11,3.1,winter,0,0.8,0.211,LOW,0
house,0,401.8,2,urban,2,basic,0,2.8,48809,24,44,6.3,autumn,3,0.3,0.383,MEDIUM,1
renovation,1,263.9,6,rural,0,premium,2,1.2,41533,82,16,0.8,spring,1,0.1,0.314,LOW,0
renovation,1,50.6,5,urban,2,premium,2,2.4,166427,10,5,7.7,autumn,3,0.3,0.021,LOW,0
house,0,358.9,5,urban,2,premium,2,4.6,25352,71,62,12.8,summer,2,0.1,0.501,MEDIUM,0
landscaping,3,107.6,7,urban,2,premium,2,2.7,59357,54,5,13.8,autumn,3,0.3,0.107,LOW,0
house,0,407.4,6,rural,0,basic,0,1.9,198933,110,32,2.8,autumn,3,0.3,0.169,LOW,0
commercial,2,342.5,7,urban,2,basic,0,2.1,161158,44,30,0.8,autumn,3,0.3,0.268,LOW,0
commercial,2,257.3,1,suburban,1,premium,2,3.7,23226,29,147,6.0,summer,2,0.1,0.894,HIGH,1
commercial,2,397.7,1,suburban,1,premium,2,4.9,67002,43,341,4.7,autumn,3,0.3,0.762,HIGH,1
commercial,2,147.2,2,urban,2,basic,0,3.8,184749,53,24,14.2,spring,1,0.1,0.0,LOW,0
landscaping,3,414.1,5,urban,2,premium,2,2.6,174727,9,32,1.1,summer,2,0.1,0.621,HIGH,1
commercial,2,380.0,5,suburban,1,standard,1,2.6,117889,92,40,11.8,autumn,3,0.3,0.021,LOW,0
house,0,212.3,2,urban,2,basic,0,2.7,87874,8,20,14.2,summer,2,0.1,0.324,LOW,0
house,0,184.6,7,urban,2,basic,0,3.9,19559,20,14,12.4,summer,2,0.1,0.221,LOW,0
house,0,164.2,6,suburban,1,basic,0,2.0,6964,30,8,14.5,spring,1,0.1,0.248,LOW,0
commercial,2,427.9,5,rural,0,premium,2,1.8,180546,74,49,11.3,summer,2,0.1,0.066,LOW,1
renovation,1,396.9,5,rural,0,basic,0,3.0,136019,33,29,5.5,autumn,3,0.3,0.015,LOW,0
commercial,2,241.9,2,rural,0,basic,0,3.0,32476,92,43,13.0,summer,2,0.1,0.0,LOW,0
commercial,2,255.9,5,urban,2,basic,0,1.1,148110,77,11,3.0,spring,1,0.1,0.154,LOW,0
commercial,2,247.3,2,suburban,1,basic,0,4.1,55824,75,50,14.5,autumn,3,0.3,0.244,LOW,0
renovation,1,117.5,4,urban,2,basic,0,2.8,57315,69,5,7.3,summer,2,0.1,0.067,LOW,0
landscaping,3,314.2,7,rural,0,standard,1,3.0,126283,9,16,9.7,winter,0,0.8,0.482,MEDIUM,0
commercial,2,430.4,1,rural,0,premium,2,4.3,133579,70,305,12.0,autumn,3,0.3,0.691,HIGH,1
house,0,46.9,7,rural,0,standard,1,4.4,131252,8,7,7.6,summer,2,0.1,0.264,LOW,0
landscaping,3,156.7,2,suburban,1,basic,0,1.3,18629,15,5,8.8,spring,1,0.1,0.095,LOW,0
house,0,486.3,1,urban,2,premium,2,3.9,74304,14,187,9.7,autumn,3,0.3,0.682,HIGH,1
house,0,493.4,3,suburban,1,premium,2,2.9,165414,40,106,3.0,winter,0,0.8,0.614,HIGH,1
commercial,2,403.1,7,urban,2,premium,2,3.1,55070,106,59,5.8,spring,1,0.1,0.139,LOW,0
commercial,2,470.8,4,urban,2,premium,2,1.4,133479,33,54,1.0,spring,1,0.1,0.56,MEDIUM,0
renovation,1,388.6,2,rural,0,premium,2,1.2,100179,90,23,8.8,autumn,3,0.3,0.165,LOW,0
landscaping,3,224.9,4,urban,2,premium,2,1.9,156353,30,13,2.4,winter,0,0.8,0.265,LOW,0
renovation,1,401.1,7,suburban,1,standard,1,2.0,120781,49,20,4.3,autumn,3,0.3,0.212,LOW,0
renovation,1,69.1,2,rural,0,standard,1,4.5,154153,31,12,7.2,winter,0,0.8,0.203,LOW,0
landscaping,3,329.1,2,urban,2,premium,2,4.5,97706,117,42,7.7,winter,0,0.8,0.338,LOW,0
landscaping,3,282.2,1,suburban,1,basic,0,3.6,84822,109,34,10.9,autumn,3,0.3,0.201,LOW,1
landscaping,3,53.5,5,urban,2,basic,0,4.6,52766,92,5,2.2,spring,1,0.1,0.359,MEDIUM,1
landscaping,3,222.1,2,urban,2,basic,0,3.8,27503,71,15,12.3,autumn,3,0.3,0.097,LOW,0
landscaping,3,33.2,4,urban,2,premium,2,3.6,194714,18,5,8.8,spring,1,0.1,0.183,LOW,0
renovation,1,66.9,7,rural,0,basic,0,2.3,35214,107,5,5.8,summer,2,0.1,0.072,LOW,0
landscaping,3,489.8,7,suburban,1,premium,2,1.0,88426,14,14,1.0,winter,0,0.8,0.338,LOW,0
house,0,126.5,1,urban,2,standard,1,2.1,45924,72,25,4.3,autumn,3,0.3,0.229,LOW,0
commercial,2,395.9,2,suburban,1,basic,0,3.3,165344,108,75,5.8,summer,2,0.1,0.147,LOW,0
commercial,2,346.5,2,urban,2,premium,2,2.1,40176,54,66,4.8,winter,0,0.8,0.473,MEDIUM,0
commercial,2,411.6,4,rural,0,standard,1,4.0,159842,83,86,10.9,autumn,3,0.3,0.116,LOW,1
renovation,1,49.6,4,suburban,1,basic,0,2.7,97346,82,5,8.6,spring,1,0.1,0.093,LOW,0
renovation,1,427.1,6,urban,2,standard,1,3.5,118065,102,32,5.3,spring,1,0.1,0.142,LOW,0
house,0,315.0,1,rural,0,premium,2,1.6,56472,114,90,3.6,winter,0,0.8,0.236,LOW,0
renovation,1,160.6,5,urban,2,basic,0,1.1,106766,63,5,8.2,summer,2,0.1,0.0,LOW,0
house,0,499.8,1,suburban,1,premium,2,4.1,65711,39,341,2.0,winter,0,0.8,1.0,HIGH,1
commercial,2,31.5,7,suburban,1,standard,1,2.5,158451,95,5,10.3,winter,0,0.8,0.205,LOW,0
commercial,2,471.1,5,rural,0,premium,2,1.3,168219,19,49,4.7,spring,1,0.1,0.511,MEDIUM,1
renovation,1,156.8,4,urban,2,premium,2,2.9,115984,100,12,10.3,summer,2,0.1,0.037,LOW,0
landscaping,3,108.1,4,urban,2,premium,2,2.3,146030,29,5,10.2,spring,1,0.1,0.007,LOW,0
house,0,298.2,6,suburban,1,premium,2,4.4,5036,34,51,8.7,winter,0,0.8,0.973,HIGH,1
commercial,2,81.5,5,rural,0,basic,0,2.2,70675,80,6,14.7,summer,2,0.1,0.101,LOW,0
renovation,1,238.3,4,urban,2,premium,2,2.9,81006,92,18,14.3,summer,2,0.1,0.087,LOW,0
house,0,313.6,4,suburban,1,premium,2,2.8,190868,54,53,3.7,winter,0,0.8,0.226,LOW,0
house,0,182.1,7,suburban,1,premium,2,2.8,68401,48,18,7.5,summer,2,0.1,0.191,LOW,1
commercial,2,99.3,1,rural,0,basic,0,4.8,82510,110,47,10.5,summer,2,0.1,0.309,LOW,0
landscaping,3,459.8,3,rural,0,standard,1,2.9,173812,79,32,14.1,winter,0,0.8,0.054,LOW,0
commercial,2,388.6,6,suburban,1,premium,2,3.9,185923,65,120,1.0,winter,0,0.8,0.805,HIGH,1
renovation,1,225.9,6,rural,0,premium,2,2.7,193381,16,27,3.1,autumn,3,0.3,0.486,MEDIUM,1
house,0,33.9,2,rural,0,basic,0,1.1,141956,19,5,13.4,summer,2,0.1,0.041,LOW,0
commercial,2,32.5,1,suburban,1,standard,1,4.9,125173,103,16,14.4,spring,1,0.1,0.202,LOW,0
house,0,391.9,5,suburban,1,premium,2,1.4,184781,114,37,0.7,summer,2,0.1,0.22,LOW,0
commercial,2,250.6,6,urban,2,standard,1,1.9,5184,98,16,9.8,spring,1,0.1,0.339,LOW,1
commercial,2,358.8,7,rural,0,premium,2,2.6,107362,40,62,5.4,summer,2,0.1,0.448,MEDIUM,1
landscaping,3,459.9,5,rural,0,premium,2,2.0,12361,59,23,9.3,summer,2,0.1,0.351,MEDIUM,1
renovation,1,144.3,4,rural,0,standard,1,4.0,103197,53,16,12.4,autumn,3,0.3,0.278,LOW,0
renovation,1,70.8,4,rural,0,premium,2,4.9,58457,106,12,9.7,autumn,3,0.3,0.246,LOW,0
renovation,1,457.1,1,suburban,1,basic,0,2.4,145204,101,79,1.0,spring,1,0.1,0.332,LOW,0
landscaping,3,225.9,3,suburban,1,premium,2,1.4,131799,45,12,2.8,summer,2,0.1,0.134,LOW,1
landscaping,3,419.1,1,urban,2,basic,0,2.7,56772,119,45,4.0,spring,1,0.1,0.144,LOW,1
renovation,1,320.3,5,urban,2,premium,2,2.6,46201,26,28,3.7,spring,1,0.1,0.112,LOW,0
renovation,1,180.2,1,suburban,1,premium,2,2.8,113430,100,37,10.7,spring,1,0.1,0.158,LOW,0
landscaping,3,110.7,2,rural,0,premium,2,4.0,183606,27,17,11.4,spring,1,0.1,0.014,LOW,0
commercial,2,448.6,3,rural,0,premium,2,1.3,165120,62,45,12.6,winter,0,0.8,0.033,LOW,0
renovation,1,234.4,2,suburban,1,basic,0,1.9,126669,106,17,2.3,winter,0,0.8,0.177,LOW,0
commercial,2,418.9,6,suburban,1,standard,1,3.3,112919,96,65,4.7,summer,2,0.1,0.243,LOW,1
landscaping,3,204.0,4,urban,2,premium,2,4.1,157865,33,17,12.9,summer,2,0.1,0.279,LOW,0
renovation,1,113.4,5,rural,0,basic,0,2.1,15359,78,5,8.3,spring,1,0.1,0.0,LOW,0
renovation,1,234.1,1,rural,0,premium,2,4.3,112939,109,88,12.5,summer,2,0.1,0.292,LOW,0
renovation,1,45.8,1,urban,2,basic,0,2.7,72190,70,5,13.2,spring,1,0.1,0.102,LOW,0
house,0,136.9,5,suburban,1,basic,0,2.0,40945,59,6,8.4,autumn,3,0.3,0.068,LOW,0
renovation,1,236.6,2,urban,2,premium,2,3.7,96748,114,44,4.1,autumn,3,0.3,0.308,LOW,0
commercial,2,99.3,7,rural,0,standard,1,4.5,38259,111,26,3.2,autumn,3,0.3,0.234,LOW,0
landscaping,3,349.6,4,rural,0,basic,0,1.9,186210,59,11,14.8,spring,1,0.1,0.043,LOW,0
renovation,1,366.8,3,rural,0,standard,1,1.7,64559,112,21,6.7,winter,0,0.8,0.172,LOW,0
commercial,2,332.9,7,suburban,1,basic,0,1.1,127724,29,10,12.8,spring,1,0.1,0.096,LOW,1
renovation,1,448.7,6,rural,0,basic,0,4.1,126391,107,51,2.9,autumn,3,0.3,0.321,LOW,0
landscaping,3,163.0,5,urban,2,standard,1,4.9,55777,92,11,9.6,autumn,3,0.3,0.175,LOW,0
renovation,1,315.4,1,suburban,1,standard,1,2.0,104955,43,36,9.0,winter,0,0.8,0.21,LOW,0
landscaping,3,485.3,4,urban,2,standard,1,4.1,69871,71,51,0.7,autumn,3,0.3,0.453,MEDIUM,0
house,0,267.8,3,urban,2,basic,0,2.3,57007,37,26,2.4,autumn,3,0.3,0.18,LOW,0
landscaping,3,424.4,2,rural,0,basic,0,3.8,54318,50,42,6.3,autumn,3,0.3,0.267,LOW,0
